Mine ID,Mine Name,Commodity,Mine Status,Status Date,Type of Mine,Street,City,State,Zip Code,full_address,lat,lon,confidence,geocode_method
4102833,Joe Stewart Pit,"Crushed, Broken Limestone NEC",Abandoned,5/18/1979,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102831,MOSS QUARRY,"Crushed, Broken Limestone NEC",Abandoned,10/25/2006,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102825,Curry Pit,"Crushed, Broken Limestone NEC",Abandoned,12/3/1980,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102932,Fort Worth Quarry,"Crushed, Broken Limestone NEC",Abandoned,11/28/1979,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102824,Rittenberry Pit,"Crushed, Broken Limestone NEC",Abandoned,7/11/1985,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102821,Keller Crusher And Pits,"Crushed, Broken Limestone NEC",Abandoned,12/3/1982,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102819,Ballard And Haile Pit And Mill,"Crushed, Broken Limestone NEC",Abandoned,5/19/1979,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102817,Clement Pit,"Crushed, Broken Limestone NEC",Abandoned,8/14/1979,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102816,John Currie Pit,"Crushed, Broken Limestone NEC",Abandoned,9/20/1983,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102815,Brazil Pit,"Crushed, Broken Limestone NEC",Abandoned,2/21/1984,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102806,Stolz Quarry,"Crushed, Broken Granite",Abandoned,7/2/1992,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102802,J-2 Pit,"Crushed, Broken Limestone NEC",Abandoned,6/9/1989,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102851,Harrison Pit,"Crushed, Broken Limestone NEC",Abandoned,2/20/1980,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102856,Chrane Quarry And Plant,"Crushed, Broken Limestone NEC",Abandoned,4/6/1984,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102857,Kemper Quarry And Plant,"Crushed, Broken Limestone NEC",Abandoned,8/26/1983,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102858,Gray Pit,"Crushed, Broken Limestone NEC",Abandoned,4/15/1980,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
